 SYSTEM :            1
        z       Tref      rho    expan        Cp      Tcond
 LAYER:            1
  2.346835E+06  1.752731E+03  4.258080E+03  2.086857E-05  1.200000E+03  4.225176E+00
  2.301773E+06  1.766178E+03  4.285532E+03  2.039046E-05  1.200000E+03  4.279831E+00
  2.255029E+06  1.779914E+03  4.313718E+03  1.991631E-05  1.200000E+03  4.336314E+00
  2.206720E+06  1.793890E+03  4.342550E+03  1.944807E-05  1.200000E+03  4.394474E+00
  2.156983E+06  1.808053E+03  4.371928E+03  1.898760E-05  1.200000E+03  4.454134E+00
  2.105950E+06  1.822354E+03  4.401761E+03  1.853638E-05  1.200000E+03  4.515129E+00
  2.053777E+06  1.836743E+03  4.431947E+03  1.809583E-05  1.200000E+03  4.577268E+00
  2.000589E+06  1.851178E+03  4.462406E+03  1.766686E-05  1.200000E+03  4.640399E+00
  1.946525E+06  1.865617E+03  4.493052E+03  1.725028E-05  1.200000E+03  4.704355E+00
  1.891706E+06  1.880026E+03  4.523816E+03  1.684659E-05  1.200000E+03  4.768996E+00
  1.836242E+06  1.894375E+03  4.554633E+03  1.645605E-05  1.200000E+03  4.834193E+00
  1.780227E+06  1.908641E+03  4.585454E+03  1.607872E-05  1.200000E+03  4.899840E+00
  1.723754E+06  1.922800E+03  4.616230E+03  1.571458E-05  1.200000E+03  4.965832E+00
  1.666890E+06  1.936840E+03  4.646928E+03  1.536338E-05  1.200000E+03  5.032097E+00
  1.609706E+06  1.950746E+03  4.677513E+03  1.502487E-05  1.200000E+03  5.098556E+00
  1.552252E+06  1.964509E+03  4.707966E+03  1.469866E-05  1.200000E+03  5.165160E+00
  1.494577E+06  1.978121E+03  4.738264E+03  1.438437E-05  1.200000E+03  5.231856E+00
  1.436715E+06  1.991579E+03  4.768398E+03  1.408152E-05  1.200000E+03  5.298612E+00
  1.378710E+06  2.004878E+03  4.798349E+03  1.378974E-05  1.200000E+03  5.365385E+00
  1.320578E+06  2.018018E+03  4.828117E+03  1.350849E-05  1.200000E+03  5.432162E+00
  1.262346E+06  2.030998E+03  4.857692E+03  1.323734E-05  1.200000E+03  5.498917E+00
  1.204027E+06  2.043819E+03  4.887076E+03  1.297582E-05  1.200000E+03  5.565644E+00
  1.145652E+06  2.056479E+03  4.916259E+03  1.272355E-05  1.200000E+03  5.632312E+00
  1.087234E+06  2.068981E+03  4.945240E+03  1.248010E-05  1.200000E+03  5.698912E+00
  1.028771E+06  2.081327E+03  4.974026E+03  1.224501E-05  1.200000E+03  5.765452E+00
  9.702971E+05  2.093517E+03  5.002607E+03  1.201799E-05  1.200000E+03  5.831898E+00
  9.118233E+05  2.105552E+03  5.030982E+03  1.179868E-05  1.200000E+03  5.898244E+00
  8.533605E+05  2.117433E+03  5.059152E+03  1.158671E-05  1.200000E+03  5.964481E+00
  7.949473E+05  2.129157E+03  5.087104E+03  1.138188E-05  1.200000E+03  6.030572E+00
  7.366113E+05  2.140723E+03  5.114831E+03  1.118390E-05  1.200000E+03  6.096489E+00
  6.784131E+05  2.152124E+03  5.142309E+03  1.099265E-05  1.200000E+03  6.162169E+00
  6.204134E+05  2.163351E+03  5.169517E+03  1.080799E-05  1.200000E+03  6.227548E+00
  5.627168E+05  2.174390E+03  5.196410E+03  1.062989E-05  1.200000E+03  6.292512E+00
  5.054777E+05  2.185216E+03  5.222925E+03  1.045848E-05  1.200000E+03  6.356892E+00
  4.488946E+05  2.195798E+03  5.248979E+03  1.029398E-05  1.200000E+03  6.420470E+00
  3.932541E+05  2.206091E+03  5.274448E+03  1.013681E-05  1.200000E+03  6.482929E+00
  3.389089E+05  2.216037E+03  5.299184E+03  9.987515E-06  1.200000E+03  6.543877E+00
  2.863001E+05  2.225567E+03  5.322998E+03  9.846803E-06  1.200000E+03  6.602826E+00
  2.359183E+05  2.234604E+03  5.345687E+03  9.715434E-06  1.200000E+03  6.659233E+00
  1.882594E+05  2.243072E+03  5.367044E+03  9.594106E-06  1.200000E+03  6.712549E+00
  1.437371E+05  2.250915E+03  5.386905E+03  9.483264E-06  1.200000E+03  6.762320E+00
  1.026268E+05  2.258098E+03  5.405166E+03  9.382995E-06  1.200000E+03  6.808246E+00
  6.503338E+04  2.264618E+03  5.421801E+03  9.293002E-06  1.200000E+03  6.850216E+00
  3.089058E+04  2.270499E+03  5.436856E+03  9.212640E-06  1.200000E+03  6.888312E+00
  0.000000E+00  2.275788E+03  5.450435E+03  9.141030E-06  1.200000E+03  6.922763E+00
        z       Tref      rho    expan        Cp      Tcond
 LAYER:            4
  2.890000E+06  1.629224E+03  3.222060E+03  3.866472E-05  1.200000E+03  2.929145E+00
  2.874942E+06  1.636910E+03  3.240002E+03  3.781762E-05  1.200000E+03  2.961858E+00
  2.859079E+06  1.644869E+03  3.258698E+03  3.696405E-05  1.200000E+03  2.996138E+00
  2.842347E+06  1.653116E+03  3.278199E+03  3.610392E-05  1.200000E+03  3.032106E+00
  2.824677E+06  1.661667E+03  3.298559E+03  3.523737E-05  1.200000E+03  3.069885E+00
  2.805991E+06  1.670541E+03  3.319838E+03  3.436430E-05  1.200000E+03  3.109622E+00
  2.786213E+06  1.679751E+03  3.342091E+03  3.348525E-05  1.200000E+03  3.151449E+00
  2.765255E+06  1.689315E+03  3.365382E+03  3.260050E-05  1.200000E+03  3.195526E+00
  2.743030E+06  1.699249E+03  3.389769E+03  3.171072E-05  1.200000E+03  3.242008E+00
  2.719440E+06  1.709568E+03  3.415319E+03  3.081659E-05  1.200000E+03  3.291064E+00
  2.694395E+06  1.720283E+03  3.442085E+03  2.991936E-05  1.200000E+03  3.342849E+00
  2.667796E+06  1.731403E+03  3.470124E+03  2.902023E-05  1.200000E+03  3.397533E+00
  2.639551E+06  1.742934E+03  3.499482E+03  2.812091E-05  1.200000E+03  3.455264E+00
