       #Time      #Total      #Solid BsHz    #Molten BsHz   #Prim  
  1.0636375E+16    1525490.0     799450.0          0.0     726040.0
  1.0682870E+16    1525490.0     799450.0          0.0     726040.0
  1.0726427E+16    1525490.0     799450.0          0.0     726040.0
  1.0769947E+16    1525490.0     799450.0          0.0     726040.0
  1.0813096E+16    1525490.0     799450.0          0.0     726040.0
  1.0851102E+16    1525490.0     799450.0          0.0     726040.0
  1.0888711E+16    1525490.0     799450.0          0.0     726040.0
  1.0927746E+16    1525490.0     799450.0          0.0     726040.0
  1.0969193E+16    1525490.0     799450.0          0.0     726040.0
  1.1010771E+16    1525490.0     799450.0          0.0     726040.0
  1.1058368E+16    1525490.0     799450.0          0.0     726040.0
  1.1107522E+16    1525490.0     799450.0          0.0     726040.0
  1.1157028E+16    1525490.0     799450.0          0.0     726040.0
  1.1201049E+16    1525490.0     799450.0          0.0     726040.0
  1.1242644E+16    1525490.0     799450.0          0.0     726040.0
  1.1286677E+16    1525490.0     799450.0          0.0     726040.0
  1.1337076E+16    1525490.0     799450.0          0.0     726040.0
  1.1383248E+16    1525490.0     799450.0          0.0     726040.0
  1.1427460E+16    1525490.0     799450.0          0.0     726040.0
  1.1470164E+16    1525490.0     799450.0          0.0     726040.0
  1.1512902E+16    1525490.0     799450.0          0.0     726040.0
  1.1554041E+16    1525490.0     799450.0          0.0     726040.0
  1.1601782E+16    1525490.0     799450.0          0.0     726040.0
  1.1650625E+16    1525490.0     799450.0          0.0     726040.0
  1.1692738E+16    1525490.0     799450.0          0.0     726040.0
  1.1739455E+16    1525490.0     799450.0          0.0     726040.0
  1.1787568E+16    1525490.0     799450.0          0.0     726040.0
  1.1834673E+16    1525490.0     799450.0          0.0     726040.0
  1.1881313E+16    1525490.0     799450.0          0.0     726040.0
  1.1928400E+16    1525490.0     799450.0          0.0     726040.0
  1.1976677E+16    1525490.0     799450.0          0.0     726040.0
  1.2024002E+16    1525490.0     799450.0          0.0     726040.0
  1.2065017E+16    1525490.0     799450.0          0.0     726040.0
  1.2107392E+16    1525490.0     799450.0          0.0     726040.0
  1.2150749E+16    1525490.0     799450.0          0.0     726040.0
  1.2195508E+16    1525490.0     799450.0          0.0     726040.0
  1.2247838E+16    1525490.0     799450.0          0.0     726040.0
  1.2299464E+16    1525490.0     799450.0          0.0     726040.0
  1.2347289E+16    1525490.0     799450.0          0.0     726040.0
  1.2392350E+16    1525490.0     799450.0          0.0     726040.0
  1.2434182E+16    1525490.0     799450.0          0.0     726040.0
  1.2479527E+16    1525490.0     799450.0          0.0     726040.0
  1.2525711E+16    1525490.0     799450.0          0.0     726040.0
  1.2570202E+16    1525490.0     799450.0          0.0     726040.0
  1.2612480E+16    1525490.0     799450.0          0.0     726040.0
  1.2656184E+16    1525490.0     799450.0          0.0     726040.0
  1.2698935E+16    1525490.0     799450.0          0.0     726040.0
  1.2745745E+16    1525490.0     799450.0          0.0     726040.0
  1.2790163E+16    1525490.0     799450.0          0.0     726040.0
  1.2836299E+16    1525490.0     799450.0          0.0     726040.0
  1.2883361E+16    1525490.0     799450.0          0.0     726040.0
  1.2928819E+16    1525490.0     799450.0          0.0     726040.0
  1.2975898E+16    1525490.0     799450.0          0.0     726040.0
  1.3019018E+16    1525490.0     799450.0          0.0     726040.0
  1.3057306E+16    1525490.0     799450.0          0.0     726040.0
  1.3097393E+16    1525490.0     799450.0          0.0     726040.0
  1.3148528E+16    1525490.0     799450.0          0.0     726040.0
  1.3194235E+16    1525490.0     799450.0          0.0     726040.0
  1.3233113E+16    1525490.0     799450.0          0.0     726040.0
  1.3276064E+16    1525490.0     799450.0          0.0     726040.0
  1.3323383E+16    1525490.0     799450.0          0.0     726040.0
  1.3370726E+16    1525490.0     799450.0          0.0     726040.0
  1.3418106E+16    1525490.0     799450.0          0.0     726040.0
  1.3465486E+16    1525490.0     799450.0          0.0     726040.0
  1.3514008E+16    1525490.0     799450.0          0.0     726040.0
  1.3560425E+16    1525490.0     799450.0          0.0     726040.0
  1.3609956E+16    1525490.0     799450.0          0.0     726040.0
  1.3655710E+16    1525490.0     799450.0          0.0     726040.0
  1.3700797E+16    1525490.0     799450.0          0.0     726040.0
  1.3748669E+16    1525490.0     799450.0          0.0     726040.0
  1.3797601E+16    1525490.0     799450.0          0.0     726040.0
  1.3843648E+16    1525490.0     799450.0          0.0     726040.0
  1.3887662E+16    1525490.0     799450.0          0.0     726040.0
  1.3932093E+16    1525490.0     799450.0          0.0     726040.0
  1.3978413E+16    1525490.0     799450.0          0.0     726040.0
  1.4027474E+16    1525490.0     799450.0          0.0     726040.0
  1.4075553E+16    1525490.0     799450.0          0.0     726040.0
  1.4122766E+16    1525490.0     799450.0          0.0     726040.0
  1.4167715E+16    1525490.0     799450.0          0.0     726040.0
  1.4212896E+16    1525490.0     799450.0          0.0     726040.0
  1.4261055E+16    1525490.0     799450.0          0.0     726040.0
  1.4310664E+16    1525490.0     799450.0          0.0     726040.0
  1.4359876E+16    1525490.0     799450.0          0.0     726040.0
  1.4407030E+16    1525490.0     799450.0          0.0     726040.0
  1.4452381E+16    1525490.0     799450.0          0.0     726040.0
  1.4500390E+16    1525490.0     799450.0          0.0     726040.0
  1.4545799E+16    1525490.0     799450.0          0.0     726040.0
  1.4590719E+16    1525490.0     799450.0          0.0     726040.0
  1.4636412E+16    1525490.0     799450.0          0.0     726040.0
  1.4684552E+16    1525490.0     799450.0          0.0     726040.0
  1.4730727E+16    1525490.0     799450.0          0.0     726040.0
  1.4773844E+16    1525490.0     799450.0          0.0     726040.0
  1.4813724E+16    1525490.0     799450.0          0.0     726040.0
  1.4854241E+16    1525490.0     799450.0          0.0     726040.0
  1.4896134E+16    1525490.0     799450.0          0.0     726040.0
  1.4942837E+16    1525490.0     799450.0          0.0     726040.0
  1.4991682E+16    1525490.0     799450.0          0.0     726040.0
  1.5043081E+16    1525490.0     799450.0          0.0     726040.0
  1.5089653E+16    1525490.0     799450.0          0.0     726040.0
  1.5135858E+16    1525490.0     799450.0          0.0     726040.0
  1.5185734E+16    1525490.0     799450.0          0.0     726040.0
  1.5231649E+16    1525490.0     799450.0          0.0     726040.0
  1.5274736E+16    1525490.0     799450.0          0.0     726040.0
  1.5319332E+16    1525490.0     799450.0          0.0     726040.0
  1.5365435E+16    1525490.0     799450.0          0.0     726040.0
  1.5410956E+16    1525490.0     799450.0          0.0     726040.0
  1.5454475E+16    1525490.0     799450.0          0.0     726040.0
  1.5498793E+16    1525490.0     799450.0          0.0     726040.0
  1.5546669E+16    1525490.0     799450.0          0.0     726040.0
  1.5592893E+16    1525490.0     799450.0          0.0     726040.0
  1.5633253E+16    1525490.0     799450.0          0.0     726040.0
  1.5675164E+16    1525490.0     799450.0          0.0     726040.0
  1.5715957E+16    1525490.0     799450.0          0.0     726040.0
  1.5755980E+16    1525490.0     799450.0          0.0     726040.0
